1	Busi	Busi	PROPN	NE	_	0	root	_	_
8	eine	ein	DET	ART	Definite=Ind|PronType=Art	9	det	_	_
9	Frau	Frau	NOUN	NN	_	19	conj	_	_
10	mit	mit	ADP	APPR	_	12	case	_	_
11	einem	ein	DET	ART	Case=Dat|Definite=Ind|Gender=Masc,Neut|Number=Sing|PronType=Art	12	det	_	_
12	Hund	Hund	NOUN	NN	Case=Dat|Gender=Masc,Neut|Number=Sing	9	nmod	_	_
13	auf	auf	ADP	APPR	_	16	case	_	_
14	der	d	DET	ART	Case=Dat|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
15	gegenüberliegenden	gegenüberliegend	ADJ	ADJA	Case=Dat|Degree=Pos|Gender=Fem|Number=Sing	16	amod	_	_
16	Straßenseite	Straßenseite	NOUN	NN	Case=Dat|Gender=Fem|Number=Sing	12	nmod	_	_
17	die	d	PRON	PRELS	Case=Acc|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	19	obj	_	_
18	irgendwie	irgendwie	ADV	ADV	_	19	advmod	_	_
19	einkaufen	einkaufen	VERB	VVINF	VerbForm=Inf	0	root	_	_
20	war	sein	AUX	VAFIN	Mood=Ind|Person=3|Tense=Past|VerbForm=Fin	19	aux	_	_
21	.	.	PUNCT	$.	_	19	punct	_	_

1	Als	als	CCONJ	KON	_	7	cc	_	_
2	dann	dann	ADV	ADV	_	7	advmod	_	_
3	der	d	DET	ART	Case=Nom|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	4	det	_	_
4	Typ	Typ	NOUN	NN	Case=Nom|Gender=Masc|Number=Sing	7	nsubj	_	_
5	den	d	DET	ART	Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	6	det	_	_
6	Ball	Ball	NOUN	NN	Case=Acc|Gender=Masc|Number=Sing	7	obj	_	_
7	verlor	verlieren	VERB	VVFIN	Number=Sing|Person=3|VerbForm=Fin	12	advcl	_	_
8	ist	sein	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	12	aux	_	_
9	der	d	DET	ART	Case=Nom|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	Hund	Hund	NOUN	NN	Case=Nom|Gender=Masc|Number=Sing	12	nsubj	_	_
11	darauf	darauf	ADV	ADV	_	12	advmod	_	_
12	losgerannt	losrennen	VERB	VVPP	_	0	root	_	_

1	und	und	CCONJ	KON	_	2	cc	_	_
2	guess	guess	X	FM	Case=Nom|Number=Sing	0	root	_	_
3	what	what	X	FM	_	2	dep	_	_

1	in	in	ADP	APPR	_	3	case	_	_
2	dem	d	DET	ART	Case=Dat|Definite=Def|Gender=Masc,Neut|Number=Sing|PronType=Art	3	det	_	_
3	Moment	Moment	NOUN	NN	Case=Dat|Gender=Masc,Neut|Number=Sing	4	obl	_	_
4	kamen	kommen	VERB	VVFIN	Number=Plur|Person=3|VerbForm=Fin	0	root	_	_
5	zwei	zwei	NUM	CARD	Degree=Pos	6	nummod	_	_
6	Autos	Auto	NOUN	NN	Case=Nom|Number=Plur	4	nsubj	_	_
7	hintereinander	hintereinander	ADV	ADV	_	4	advmod	_	_

1	und	und	CCONJ	KON	_	2	cc	_	_
2	ja	ja	INTJ	NGIRR	_	0	root	_	_
3	kopek	kopek	X	FM	_	2	dep	_	_
4	sokagin	sokagin	X	FM	Case=Nom|Number=Sing	3	nsubj	_	_
5	ortasina	ortasina	X	FM	Case=Acc|Gender=Fem|Number=Sing	3	dep	_	_
6	gidince	gidince	X	FM	Case=Acc|Number=Sing	9	dep	_	_
7	araba	araba	X	FM	_	9	dep	_	_
8	ani	ani	X	FM	_	9	dep	_	_
9	fren	fren	X	FM	Number=Plur|Person=3|VerbForm=Fin	5	dep	_	_
10	yapti	yapti	X	FM	_	2	dep	_	_

1	und	und	CCONJ	KON	_	5	cc	_	_
2	genau	genau	ADV	PTKIFG	Degree=Pos	5	advmod	_	_
3	in	in	ADP	APPR	_	5	case	_	_
4	dem	d	DET	ART	Case=Dat|Definite=Def|Gender=Masc,Neut|Number=Sing|PronType=Art	5	det	_	_
5	Moment	Moment	NOUN	NN	Case=Dat|Gender=Masc,Neut|Number=Sing	9	nmod	_	_
6	ist	sein	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	9	cop	_	_
7	das	d	PRON	PDS	Definite=Def|PronType=Art	9	det	_	_
8	andere	ander	DET	PIAT	Degree=Pos	9	det	_	_
9	Auto	Auto	NOUN	NN	_	14	dep	_	_
10	hinten	hinten	ADV	ADV	_	13	advmod	_	_
11	bei	bei	ADP	APPR	_	13	case	_	_
12	dem	d	DET	ART	Case=Dat|Definite=Def|Gender=Masc,Neut|Number=Sing|PronType=Art	13	det	_	_
13	Typen	Typ	NOUN	NN	Case=Dat|Gender=Masc|Number=Plur	14	obl	_	_
14	reingefahren	reinfahren	VERB	VVPP	VerbForm=Fin	0	root	_	_

1	Fallen	fallen	VERB	VVINF	_	0	root	_	_
2	lassen	lassen	VERB	VVINF	_	1	xcomp	_	_
3	*	*	PUNCT	$(	_	1	punct	_	_

